mjd;mag;magerr
51818.38;2.153.768.348.693.840;0.1249315217137336
51875.21;21.888.473.510.742.100;0.1747844070196151
52170.43;21.002.586.364.746.000;0.0838894918560981
52171.37;20.965.234.756.469.700;0.085387960076332
52173.35;21.244.762.420.654.200;0.1214305534958839
52224.33;2.128.400.611.877.440;0.0987489968538284
52225.29;2.121.222.686.767.570;0.0947097539901733
52234.28;21.106.006.622.314.400;0.1223341971635818
52261.25;20.849.233.627.319.300;0.0830238461494445
52287.13;20.987.024.307.250.900;0.0765836611390113
52288.13;21.238.296.508.789.000;0.1021251529455185
52522.43;20.841.102.600.097.600;0.0860568210482597
52551.4;20.771.486.282.348.600;0.0692011043429374
52552.45;20.722.810.745.239.200;0.0873794704675674
52557.42;20.852.733.612.060.500;0.0763466954231262
52558.43;2.093.647.575.378.410;0.0719459876418113
52578.31;208.418.083.190.918;0.068992018699646
52908.4;2.054.127.311.706.540;0.0649770647287368
52934.33;2.047.014.617.919.920;0.0598171316087245
52935.33;2.045.238.304.138.180;0.0688757449388504
52936.32;20.501.171.112.060.500;0.0551036223769187
52963.26;20.819.149.017.333.900;0.0606454387307167
53270.39;20.896.732.330.322.200;0.0780302286148071
53272.44;2.093.609.046.936.030;0.0974337086081504
53288.36;21.147.350.311.279.200;0.0973890647292137
53294.41;2.346.269.798.278.800;0.6932770013809204
53298.41;2.088.427.734.375;0.0961983948945999
53312.32;20.943.510.055.541.900;0.1781335175037384
53314.32;2.082.310.104.370.110;0.1093400865793228
53351.18;21.038.330.078.125;0.0942416489124298
53622.43;2.048.928.451.538.080;0.0565536320209503
53627.39;20.607.585.906.982.400;0.0647381246089935
53628.38;20.405.990.600.585.900;0.0908829942345619
53634.38;20.896.106.719.970.700;0.2387125641107559
53635.39;2.063.804.626.464.840;0.1143610626459121
53638.43;20.595.394.134.521.400;0.0755368694663047
53639.43;20.609.773.635.864.200;0.0766229256987571
53640.39;20.903.217.315.673.800;0.0921571627259254
53641.43;2.049.892.807.006.830;0.0795833840966224
53646.45;21.797.409.057.617.100;0.212459921836853
53655.36;20.689.424.514.770.500;0.0696428194642067
53663.37;2.053.190.040.588.370;0.145928606390953
53663.45;2.036.756.896.972.650;0.1772009432315826
53664.39;20.597.585.678.100.500;0.1245187893509864
53665.35;2.051.642.417.907.710;0.0978449359536171
53665.45;20.865.108.489.990.200;0.1874887943267822
53668.44;20.466.148.376.464.800;0.1420571058988571
53669.35;2.054.045.867.919.920;0.0959539785981178
53669.45;2.069.802.665.710.440;0.1458058804273605
53670.37;2.051.357.078.552.240;0.0821126475930213
53670.45;20.757.244.110.107.400;0.1255722194910049
53671.43;20.705.211.639.404.200;0.1016999334096908
53673.33;2.066.584.205.627.440;0.0637896358966827
53674.33;20.844.282.150.268.500;0.0832481682300567
53675.33;20.620.534.896.850.500;0.0692150220274925
53676.42;2.054.572.486.877.440;0.0882492512464523
53677.35;2.065.816.879.272.460;0.0686144232749939
53679.39;20.626.813.888.549.800;0.0971149429678917
53680.34;20.641.843.795.776.300;0.06582061201334
53681.38;20.772.167.205.810.500;0.0788370072841644
53683.4;2.107.427.978.515.620;0.1017956808209419
53686.34;2.072.130.584.716.790;0.2021652311086654
53697.34;20.639.190.673.828.100;0.09760233014822
53699.36;2.078.129.005.432.120;0.0954511687159538
53700.34;2.059.706.115.722.650;0.084633357822895
53705.33;2.055.111.694.335.930;0.081283614039421
53975.41;2.100.000.762.939.450;0.0829954072833061
53989.42;208.120.231.628.418;0.1691486686468124
53994.43;2.111.191.749.572.750;0.1029123216867446
53996.42;20.314.733.505.249.000;0.0731532722711563
