mjd;mag;magerr
51818.35;217.384.033.203.125;0.174991488456726
52170.4;22.068.408.966.064.400;0.1936591416597366
52173.31;2.317.416.381.835.930;0.7604305744171143
52196.4;2.205.137.062.072.750;0.257852703332901
52207.36;2.201.258.850.097.650;0.225867286324501
52224.29;2.189.193.344.116.210;0.1757015436887741
52225.26;21.968.673.706.054.600;0.2216226607561111
52231.28;21.661.380.767.822.200;0.1496680229902267
52234.25;2.218.968.772.888.180;0.2173362821340561
52261.21;2.185.688.591.003.410;0.2036061733961105
52282.14;217.783.203.125;0.2205597758293151
52287.09;22.189.929.962.158.200;0.2504837214946747
52288.09;21.678.956.985.473.600;0.156400054693222
52522.39;22.035.032.272.338.800;0.2123608291149139
52551.36;2.203.473.281.860.350;0.2486616820096969
52552.41;22.343.002.319.335.900;0.3370373845100403
52557.39;22.283.370.971.679.600;0.2842989861965179
52558.4;22.256.946.563.720.700;0.242696538567543
52576.23;22.774.450.302.124.000;0.41742604970932
52577.28;2.244.541.549.682.610;0.3134789764881134
52585.23;22.081.144.332.885.700;0.229584515094757
52908.36;2.313.117.408.752.440;0.543854296207428
52910.37;2.172.246.742.248.530;0.1807730495929718
52912.34;2.266.277.885.437.010;0.4351416528224945
52934.29;21.903.886.795.043.900;0.2425256371498108
52935.3;220.048.942.565.918;0.2434340566396713
52936.29;219.118.595.123.291;0.1637419164180755
52963.22;22.020.891.189.575.100;0.1628087610006332
52971.21;22.284.748.077.392.500;0.292522519826889
53270.35;2.258.991.241.455.070;0.3878859579563141
53286.37;22.116.531.372.070.300;0.2984796166419983
53288.33;225.926.570.892.334;0.3236224949359894
53294.38;2.220.294.761.657.710;0.3227907419204712
53298.37;21.827.957.153.320.300;0.2341329157352447
53302.32;21.512.117.385.864.200;0.3025373816490173
53312.28;2.219.674.301.147.460;0.509572446346283
53314.28;2.227.366.065.979.000;0.3138247430324554
53351.14;2.203.861.618.041.990;0.2273805886507034
53622.4;2.240.938.377.380.370;0.3397524952888489
