mjd;mag;magerr
51818.36;2.220.699.691.772.460;0.2432445287704467
51875.19;219.052.791.595.459;0.1756819486618042
52170.41;219.652.156.829.834;0.2280524969100952
52173.33;22.125.133.514.404.200;0.3498764038085937
52224.31;21.789.779.663.085.900;0.1911513358354568
52225.27;2.196.031.951.904.290;0.1809987127780914
52234.26;21.930.419.921.875;0.2114631235599517
52261.23;2.204.244.804.382.320;0.2539082765579223
52282.16;2.185.976.791.381.830;0.2701548337936401
52287.11;216.518.669.128.418;0.1741185188293457
52288.11;21.832.151.412.963.800;0.1654282659292221
52522.41;21.432.138.442.993.100;0.1219950392842292
52551.38;21.821.266.174.316.400;0.176010325551033
52557.4;21.657.869.338.989.200;0.1843370795249939
52558.41;2.164.922.332.763.670;0.1289400309324264
52576.24;2.156.784.439.086.910;0.134567379951477
52577.3;2.143.400.001.525.870;0.1185811311006546
52578.28;21.765.323.638.916.000;0.1633836925029754
52585.25;2.144.974.708.557.120;0.120655357837677
52908.37;2.168.714.714.050.290;0.2048427909612655
52910.38;21.658.836.364.746.000;0.1937429159879684
52934.31;21.673.259.735.107.400;0.1892852932214737
52935.31;21.759.435.653.686.500;0.1738044768571853
52936.3;21.432.859.420.776.300;0.1300197690725326
52963.23;21.741.209.030.151.300;0.1330312639474868
53270.37;2.182.658.576.965.330;0.2282271236181259
53272.42;22.374.570.846.557.600;0.4254889488220215
53286.38;21.890.033.721.923.800;0.2980209589004516
53288.34;21.656.354.904.174.800;0.1623341888189315
53296.34;217.966.423.034.668;0.2817094027996063
53298.39;218.437.614.440.918;0.2251794636249542
53302.34;22.031.139.373.779.200;0.4711777865886688
53312.29;22.435.291.290.283.200;0.7202338576316833
53314.3;2.128.668.212.890.620;0.1901857107877731
53622.41;2.223.213.768.005.370;0.2123468518257141
53628.36;2.250.952.911.376.950;0.7364059686660767
53635.37;2.171.283.721.923.820;0.3469491899013519
53637.36;22.497.203.826.904.200;0.7378761768341064
53638.4;22.063.386.917.114.200;0.2546962797641754
53639.41;21.942.413.330.078.100;0.2510809898376465
53640.37;22.247.726.440.429.600;0.265979140996933
53641.41;2.246.958.351.135.250;0.3972993493080139
53646.43;22.415.002.822.875.900;0.3224016726016998
53655.34;2.192.371.368.408.200;0.21240995824337
53663.35;2.204.986.572.265.620;0.5902537703514099
53664.36;22.184.852.600.097.600;0.6254841685295105
53665.43;22.136.253.356.933.500;0.5541698932647705
53666.42;2.195.852.279.663.080;0.5175352692604065
53668.34;21.810.577.392.578.100;0.3382583260536194
53669.32;22.402.212.142.944.300;0.3823433816432953
53669.43;21.770.870.208.740.200;0.4681980311870575
53671.41;2.333.910.751.342.770;0.8794566988945007
53673.31;21.735.544.204.711.900;0.1783130764961242
53675.31;2.184.403.610.229.490;0.2124065607786178
53676.4;21.640.396.118.164.000;0.1789775192737579
53677.33;2.188.789.176.940.910;0.2172952592372894
53680.32;2.202.174.949.645.990;0.2845834493637085
53681.36;21.697.702.407.836.900;0.1718802452087402
53683.38;2.168.207.359.313.960;0.2605701386928558
53697.32;22.293.893.814.086.900;0.4106019139289856
53698.32;21.862.607.955.932.600;0.2966994345188141
53704.3;21.934.947.967.529.200;0.2937647700309753
53975.39;218.111.629.486.084;0.2130537629127502
53993.4;2.177.366.828.918.450;0.3643806278705597
53994.41;22.153.295.516.967.700;0.2650954723358154
53995.44;21.547.365.188.598.600;0.2084280848503112
53996.4;2.165.444.564.819.330;0.2370465546846389
54000.37;23.026.636.123.657.200;0.6639366149902344
54007.42;2.169.166.374.206.540;0.2140916436910629
54008.36;2.227.387.809.753.410;0.3338764309883117
54009.35;220.418.758.392.334;0.2122683227062225
54010.35;22.154.277.801.513.600;0.1687197238206863
54011.41;2.185.281.181.335.440;0.1757299900054931
54012.34;214.058.895.111.084;0.2890714406967163
54020.35;2.203.070.831.298.820;0.444877952337265
54024.43;2.178.910.255.432.120;0.2316245138645172
