mjd;mag;magerr
51818.38;22.441.444.396.972.600;0.2431540489196777
51875.21;22.448.631.286.621.000;0.2917152345180511
52171.37;2.258.638.381.958.000;0.2744058072566986
52173.35;22.401.514.053.344.700;0.298271894454956
52224.33;2.214.756.774.902.340;0.1913622319698333
52225.29;2.244.811.248.779.290;0.2677461802959442
52234.29;2.251.263.999.938.960;0.371047705411911
52261.25;22.247.211.456.298.800;0.2152207195758819
52287.13;2.235.109.519.958.490;0.1981521844863891
52288.13;2.317.070.960.998.530;0.4945079386234283
52522.43;22.507.299.423.217.700;0.2735696732997894
52551.4;2.247.884.178.161.620;0.284479945898056
52552.45;22.201.488.494.873.000;0.2215067744255066
52557.42;2.220.679.473.876.950;0.2053388506174087
52558.44;2.231.472.396.850.580;0.2040987312793731
52578.31;2.229.496.192.932.120;0.214350625872612
52585.27;22.213.802.337.646.400;0.1726257652044296
52908.4;22.077.970.504.760.700;0.1952375620603561
52935.33;22.101.322.174.072.200;0.219914510846138
52936.33;2.199.749.183.654.780;0.1571855247020721
52963.26;2.198.234.367.370.600;0.1393457502126693
53270.39;22.551.870.346.069.300;0.2598421275615692
53272.44;22.783.159.255.981.400;0.4362959563732147
53286.41;22.623.350.143.432.600;0.415280133485794
53288.37;2.237.339.210.510.250;0.2499458193778991
53298.41;2.230.514.144.897.460;0.2756126821041107
53302.36;2.242.780.876.159.660;0.4188081920146942
53312.32;2.218.816.566.467.280;0.5070903897285461
53314.32;2.209.493.637.084.960;0.2918030619621277
53351.18;2.229.144.287.109.370;0.2819486856460571
53622.44;22.679.176.330.566.400;0.2528626024723053
53627.39;22.480.148.315.429.600;0.2575343549251556
53628.38;22.170.265.197.753.900;0.3846937417984009
53638.43;2.274.724.769.592.280;0.4323588907718658
53639.43;228.874.568.939.209;0.4901009798049927
53640.39;22.550.508.499.145.500;0.320696622133255
53641.43;22.172.725.677.490.200;0.287289947271347
53665.35;21.996.946.334.838.800;0.3582263588905334
53665.45;2.239.403.343.200.680;0.6927030682563782
53670.37;22.900.714.874.267.500;0.5570635199546814
53670.45;2.275.431.060.791.010;0.628365159034729
53673.34;22.967.845.916.748.000;0.4042422175407409
53674.33;23.300.281.524.658.200;0.700004518032074
53675.33;22.689.462.661.743.100;0.3605300188064575
53676.42;2.266.963.005.065.910;0.6383562684059143
53677.35;2.278.346.061.706.540;0.2933909595012665
53679.39;23.012.210.845.947.200;0.6455667018890381
53680.34;22.451.114.654.541.000;0.2431610375642776
53681.38;22.983.423.233.032.200;0.4259921312332153
53683.4;23.723.482.131.958.000;0.7737129330635071
53697.34;23.182.313.919.067.300;0.8091835975646973
53699.36;22.722.211.837.768.500;0.4545609652996063
53700.34;2.277.175.521.850.580;0.4833084046840668
53705.33;22.067.995.071.411.100;0.2742612659931183
53975.41;2.269.468.307.495.110;0.3799754679203033
53989.42;2.219.848.251.342.770;0.4628030061721802
53994.44;21.724.336.624.145.500;0.1971120983362198
53996.42;2.195.254.135.131.830;0.3281512558460235
53997.45;2.265.316.390.991.210;0.2671918869018554
54007.45;2.231.350.898.742.670;0.280559092760086
54008.38;2.259.370.422.363.280;0.28726327419281
54009.37;22.324.567.794.799.800;0.1816920042037964
54009.45;22.630.949.020.385.700;0.3065278530120849
54011.44;226.434.326.171.875;0.2108842134475708
54012.37;22.106.632.232.666.000;0.3165212273597717
54012.45;23.114.015.579.223.600;0.588636040687561
54020.4;2.271.972.274.780.270;0.7591137290000916
54024.45;21.941.967.010.498.000;0.3252981305122375
54025.43;22.083.982.467.651.300;0.603090226650238
54028.44;2.208.037.567.138.670;0.2099466621875763
54029.45;22.187.589.645.385.700;0.3456366658210754
54030.4;22.255.535.125.732.400;0.2069035172462463
54031.35;22.798.078.536.987.300;0.2624741494655609
54037.35;2.190.394.401.550.290;0.1518914848566055
54039.36;22.555.795.669.555.600;0.2685613632202148
54040.36;22.180.803.298.950.100;0.2573875784873962
54041.4;22.826.217.651.367.100;0.5331520438194275
54048.38;2.186.717.987.060.540;0.4806212484836578
54053.37;22.692.943.572.998.000;0.4458152949810028
54055.37;22.885.473.251.342.700;0.5801111459732056
54056.35;22.310.251.235.961.900;0.3181893825531006
54058.35;22.297.719.955.444.300;0.4041523933410644
54059.35;21.760.278.701.782.200;0.2098656743764877
54060.37;22.415.082.931.518.500;0.5031356811523438
54061.36;22.701.080.322.265.600;0.840124785900116
54062.35;2.254.793.739.318.840;0.3148892223834991
54348.43;227.188.777.923.584;0.3977270126342773
54357.39;2.212.012.481.689.450;0.1679339706897735
54362.44;2.146.715.545.654.290;0.1273853778839111
54376.44;22.030.048.370.361.300;0.2707520425319671
54381.44;21.873.615.264.892.500;0.1691233962774276
54382.42;23.010.412.216.186.500;0.5703558921813965
54384.45;2.201.441.192.626.950;0.2722811996936798
54385.44;2.165.711.784.362.790;0.1694294959306717
54386.43;2.200.845.718.383.780;0.184111401438713
54387.44;2.177.920.913.696.280;0.3280389606952667
54392.44;227.080.020.904.541;0.420971542596817
54393.44;220.734.977.722.168;0.3122844398021698
54394.42;21.528.759.002.685.500;0.2580043971538543
54406.35;2.177.056.121.826.170;0.187209203839302
54409.35;21.822.101.593.017.500;0.1397028863430023
54411.3;2.226.571.083.068.840;0.2135662883520126
54415.36;21.564.327.239.990.200;0.1279909014701843
54418.35;21.409.374.237.060.500;0.1886979937553405
54423.33;2.173.628.616.333.000;0.203531876206398
54424.29;2.195.353.507.995.600;0.3389922082424164
54433.35;2.160.016.250.610.350;0.6075271964073181
