mjd;mag;magerr
51818.36;2.069.353.675.842.280;0.0623125396668911
51875.19;20.561.813.354.492.100;0.0562284104526042
52170.41;2.099.462.127.685.540;0.0863242596387863
52173.33;21.094.282.150.268.500;0.1100384071469307
52224.31;2.073.344.612.121.580;0.0637543573975563
52225.27;2.075.935.173.034.660;0.0712074488401413
52234.26;20.691.877.365.112.300;0.0697289332747459
52261.23;20.657.533.645.629.800;0.0651372373104095
52282.16;2.040.242.958.068.840;0.0646961778402328
52287.11;20.344.934.463.500.900;0.050223059952259
52522.41;2.061.445.426.940.910;0.0656205862760543
52551.38;20.437.894.821.166.900;0.0618401914834976
52557.4;20.612.098.693.847.600;0.0690411627292633
52576.25;2.056.806.182.861.320;0.0617080628871917
52578.29;20.540.254.592.895.500;0.0615992173552513
52908.38;20.265.512.466.430.600;0.0525959283113479
52910.39;2.019.705.009.460.440;0.0532355904579162
52912.36;2.036.667.823.791.500;0.0598266907036304
52934.31;20.339.263.916.015.600;0.0569803193211555
52936.3;2.037.229.347.229.000;0.0502662770450115
53270.37;2.033.302.497.863.760;0.0580307394266128
53272.42;2.012.986.946.105.950;0.0517186932265758
53286.39;2.015.423.011.779.780;0.0617448985576629
53288.34;2.019.798.469.543.450;0.0454973988234996
53296.34;2.028.067.779.541.010;0.0623358935117721
53298.39;205.532.169.342.041;0.0641963258385658
53302.34;20.135.854.721.069.300;0.0772455036640167
53314.3;20.341.562.271.118.100;0.072758138179779
53351.16;2.033.090.209.960.930;0.0632330551743507
53622.42;20.542.951.583.862.300;0.058431476354599
53628.36;20.268.444.061.279.200;0.0921712666749954
53635.37;20.541.696.548.461.900;0.1036341562867164
53637.36;20.410.688.400.268.500;0.0970946922898292
53639.41;2.030.777.359.008.780;0.056875791400671
53640.37;20.417.699.813.842.700;0.0723540186882019
53641.41;20.512.924.194.335.900;0.0685460269451141
53646.43;2.078.398.895.263.670;0.0869007185101509
53655.34;20.345.590.591.430.600;0.0599470548331737
53663.35;20.421.506.881.713.800;0.1336115300655365
53663.43;20.360.361.099.243.100;0.1603205949068069
53664.37;2.081.450.653.076.170;0.1913730800151825
53665.33;20.700.666.427.612.300;0.1279352456331253
53665.43;2.029.134.750.366.210;0.1038172915577888
53666.42;20.395.891.189.575.100;0.1152993887662887
53668.34;2.032.258.033.752.440;0.0773419141769409
53668.42;20.161.190.032.958.900;0.1091444194316864
53669.33;2.069.363.021.850.580;0.1225477382540702
53669.43;2.044.614.601.135.250;0.1267259418964386
53674.31;2.035.005.760.192.870;0.062775544822216
53675.31;201.899.528.503.418;0.0589554943144321
53677.33;20.362.945.556.640.600;0.0527471601963043
53680.32;2.026.011.276.245.110;0.051343984901905
53683.38;20.448.110.580.444.300;0.0801961198449134
53687.27;20.231.388.092.041.000;0.1199029982089996
