mjd;mag;magerr
51818.39;21.532.865.524.291.900;0.1511938422918319
51875.22;2.115.265.464.782.710;0.1122586578130722
52171.38;2.108.697.509.765.620;0.1192239299416542
52173.35;21.142.074.584.960.900;0.1342256516218185
52224.33;2.138.580.894.470.210;0.124099463224411
52225.3;21.254.684.448.242.100;0.1156323105096817
52234.29;21.181.013.107.299.800;0.146337628364563
52261.25;2.135.604.858.398.430;0.1204195171594619
52287.13;21.444.284.439.086.900;0.1452044993638992
52288.13;21.478.195.190.429.600;0.1610785722732544
52522.44;2.153.175.544.738.760;0.1737472862005233
52551.41;2.152.616.310.119.620;0.1534582674503326
52552.45;21.295.387.268.066.400;0.1251287758350372
52557.43;2.153.280.067.443.840;0.1409666985273361
52558.44;21.537.397.384.643.500;0.1410847902297973
52578.31;21.448.707.580.566.400;0.1444004774093628
52585.27;2.146.366.310.119.620;0.1309411376714706
52908.4;21.544.235.229.492.100;0.1569895893335342
52912.38;21.656.349.182.128.900;0.1742577701807022
52934.33;21.479.642.868.041.900;0.1678959876298904
52935.34;2.166.163.444.519.040;0.1877563595771789
52936.33;21.629.541.397.094.700;0.1507163345813751
52963.26;219.949.893.951.416;0.1853801757097244
53270.39;21.032.079.696.655.200;0.1068680733442306
53272.44;2.128.409.576.416.010;0.1265092194080352
53286.41;21.344.955.444.335.900;0.1738652884960174
53288.37;21.469.497.680.664.000;0.1532339006662368
53294.42;22.346.792.221.069.300;0.3815280199050903
53296.37;21.147.544.860.839.800;0.1435826420783996
53298.42;21.301.597.595.214.800;0.1239952370524406
53302.37;21.225.698.471.069.300;0.1636457592248916
53312.32;21.966.720.581.054.600;0.4658759832382202
53314.32;2.136.703.109.741.210;0.2010291665792465
53319.31;21.222.803.115.844.700;0.1675436794757843
53351.18;21.496.700.286.865.200;0.1877159476280212
53616.43;2.179.076.766.967.770;0.2095859944820404
53622.44;21.561.098.098.754.800;0.1339498162269592
53627.4;21.467.500.686.645.500;0.1492004245519638
53628.39;2.144.435.691.833.490;0.2219412177801132
53635.4;21.666.223.526.000.900;0.3763870298862457
53638.43;21.471.830.368.041.900;0.193255066871643
