mjd;mag;magerr
51818.35;2.109.669.685.363.760;0.0896811857819557
52170.4;2.094.474.029.541.010;0.0777338296175003
52173.32;21.147.125.244.140.600;0.1349712759256363
52196.4;2.091.554.069.519.040;0.0946044400334358
52207.37;2.103.434.181.213.370;0.0867847874760627
52224.3;20.937.070.846.557.600;0.0771635249257087
52225.26;20.951.984.405.517.500;0.089669145643711
52231.28;2.112.680.053.710.930;0.0899962112307548
52234.25;21.077.089.309.692.300;0.0874892249703407
52282.15;20.884.790.420.532.200;0.0954019501805305
52287.1;21.184.450.149.536.100;0.0847329050302505
52288.1;2.107.184.791.564.940;0.0956737324595451
52551.37;20.946.157.455.444.300;0.0865881070494651
52552.42;21.100.988.388.061.500;0.1129136830568313
52557.39;2.106.224.822.998.040;0.0951504856348037
52558.4;21.101.043.701.171.800;0.082768440246582
52576.24;212.166.748.046.875;0.1038509234786033
52577.29;2.099.565.696.716.300;0.0793850421905517
52585.24;20.823.854.446.411.100;0.06755031645298
52908.36;2.118.896.484.375;0.1042490974068641
52910.37;20.909.225.463.867.100;0.0891894772648811
52912.34;2.096.384.620.666.500;0.1037110984325409
52934.3;2.097.637.939.453.120;0.111436553299427
52935.3;20.867.830.276.489.200;0.0895361229777336
52936.29;2.117.586.326.599.120;0.0822736173868179
52963.22;21.029.516.220.092.700;0.0835764184594154
53270.36;2.113.302.421.569.820;0.1186757385730743
53288.33;2.107.564.353.942.870;0.0794997736811637
53296.33;20.823.583.602.905.200;0.1076755672693252
53298.38;20.965.797.424.316.400;0.1060331612825393
53312.28;2.094.257.354.736.320;0.1702684313058853
53314.29;2.108.164.978.027.340;0.1194291710853576
53622.4;2.121.477.699.279.780;0.1074526906013488
53628.35;20.775.537.490.844.700;0.1485188156366348
53635.36;2.096.108.055.114.740;0.1498357355594635
53637.35;20.980.283.737.182.600;0.1484230607748031
53638.39;2.108.655.548.095.700;0.134062185883522
53639.4;20.753.101.348.876.900;0.0884466245770454
53641.4;20.935.287.475.585.900;0.090749055147171
53646.42;21.373.516.082.763.600;0.1099209636449813
53655.33;208.162.899.017.334;0.0875321701169014
53663.34;2.108.291.244.506.830;0.2185754925012588
53664.36;2.170.729.255.676.260;0.3981983959674835
53666.41;2.117.655.372.619.620;0.2088070809841156
53668.33;21.047.517.776.489.200;0.1420666426420211
53669.31;20.906.259.536.743.100;0.0856404229998588
53669.42;20.784.717.559.814.400;0.1509730368852615
53671.4;2.062.298.393.249.510;0.1085286885499954
53673.3;20.884.862.899.780.200;0.076269619166851
53674.3;21.172.956.466.674.800;0.1626580357551574
53675.3;2.097.843.742.370.600;0.0974322333931922
53677.32;21.021.800.994.873.000;0.0798092633485794
53680.31;2.111.162.376.403.800;0.0928734242916107
53681.35;20.910.600.662.231.400;0.088876262307167
53693.31;2.091.923.141.479.490;0.2898483872413635
53697.31;21.064.319.610.595.700;0.1281721442937851
53698.31;21.415.950.775.146.400;0.1438765376806259
53704.29;2.084.460.830.688.470;0.1001827716827392
53975.38;2.117.412.757.873.530;0.1203255131840705
53989.39;2.158.347.511.291.500;0.3725824356079101
53993.39;2.063.903.045.654.290;0.1224226430058479
53994.4;2.098.529.052.734.370;0.0881327688694
53995.43;20.498.199.462.890.600;0.0910138636827468
53996.39;20.527.812.957.763.600;0.1004879474639892
54000.36;210.957.145.690.918;0.1298242360353469
54007.41;20.934.614.181.518.500;0.0933636054396629
54008.35;20.972.166.061.401.300;0.0922110974788665
54009.34;20.936.418.533.325.100;0.0796692371368408
54011.4;21.001.052.856.445.300;0.0734639391303062
54012.33;20.919.937.133.789.000;0.1783054769039154
54020.34;21.123.823.165.893.500;0.1869336068630218
54024.42;2.103.922.271.728.510;0.1334452331066131
54025.4;20.464.744.567.871.000;0.1147278323769569
54028.41;2.098.646.545.410.150;0.1075971573591232
54029.33;20.787.155.151.367.100;0.0844324678182601
54031.32;20.958.261.489.868.100;0.0767735689878463
54035.41;2.093.070.411.682.120;0.13436920940876
54036.32;2.085.282.325.744.620;0.1117784529924392
54039.32;2.106.235.885.620.110;0.1006638184189796
54040.33;20.843.732.833.862.300;0.1388614624738693
54041.29;20.851.951.599.121.000;0.1482704132795334
54049.35;20.926.658.630.371.000;0.2239752560853958
54052.32;2.119.827.079.772.940;0.1929014772176742
54055.32;2.114.184.188.842.770;0.1149838417768478
54055.33;2.139.145.851.135.250;0.1850837469100952
54058.32;2.097.042.655.944.820;0.111523799598217
54059.31;2.079.722.595.214.840;0.1214268803596496
54061.33;209.547.061.920.166;0.1591947823762893
54062.32;21.056.262.969.970.700;0.1076520606875419
54063.31;2.109.182.548.522.940;0.0924999713897705
54068.3;20.740.020.751.953.100;0.1611999571323394
54346.4;2.112.871.360.778.800;0.2352372854948043
54348.4;20.986.534.118.652.300;0.1281670331954956
54357.36;21.104.869.842.529.200;0.0942180380225181
54359.39;2.115.339.469.909.660;0.1513506770133972
54365.39;212.271.785.736.084;0.0945673659443855
54376.4;2.102.500.534.057.610;0.1163553819060325
54381.41;21.123.947.143.554.600;0.1107431501150131
54382.39;21.082.921.981.811.500;0.1255316883325576
54384.41;2.094.359.397.888.180;0.0984323546290397
54385.41;20.885.501.861.572.200;0.087902620434761
54386.4;2.118.256.187.438.960;0.1226808577775955
54387.41;2.085.107.421.875;0.1727340370416641
54391.41;21.528.959.274.291.900;0.3198334872722626
54392.4;2.126.520.729.064.940;0.1544699519872665
54393.41;2.100.735.855.102.530;0.0948079600930213
54394.39;2.083.732.414.245.600;0.1437681466341018
54402.4;2.108.108.901.977.530;0.3874644637107849
54403.32;20.977.468.490.600.500;0.408412903547287
54404.38;21.228.315.353.393.500;0.2529711723327636
54405.37;2.116.766.929.626.460;0.1965962201356887
54406.31;211.721.305.847.168;0.1100877895951271
54411.27;2.109.035.873.413.080;0.0888162329792976
54412.34;20.814.119.338.989.200;0.1075691431760788
54413.31;21.364.622.116.088.800;0.2185183763504028
54415.32;20.916.275.024.414.000;0.0971827358007431
54416.31;21.160.757.064.819.300;0.1013308465480804
54417.31;2.101.241.111.755.370;0.0869853422045707
54418.31;20.898.269.653.320.300;0.1079780235886573
54421.32;2.099.427.604.675.290;0.1295962184667587
54422.32;21.030.271.530.151.300;0.1294421702623367
54423.29;2.093.851.661.682.120;0.1646666228771209
54424.25;2.090.546.417.236.320;0.1639055013656616
54433.32;20.813.140.869.140.600;0.308281660079956
