mjd;mag;magerr
51818.4;20.214.130.401.611.300;0.0537753887474536
51875.23;2.042.691.802.978.510;0.0554726608097553
52171.39;2.006.533.432.006.830;0.052318125963211
52171.46;20.350.725.173.950.100;0.0468245707452297
52173.37;20.225.488.662.719.700;0.0652517825365066
52224.35;20.052.305.221.557.600;0.046885035932064
52225.31;2.022.488.594.055.170;0.0526491925120353
52234.3;2.009.263.229.370.110;0.0605713315308094
52261.27;20.030.414.581.298.800;0.0486473217606544
52287.15;2.013.705.444.335.930;0.0537813864648342
52288.15;2.019.707.298.278.800;0.0431494414806366
52522.45;20.394.649.505.615.200;0.05536375567317
52551.42;20.332.971.572.875.900;0.0551741011440753
52557.44;20.453.893.661.499.000;0.0666873008012771
52558.45;20.657.957.077.026.300;0.0553844608366489
52578.32;2.034.840.202.331.540;0.0498546585440635
52585.29;2.040.635.871.887.200;0.056922722607851
52585.34;2.029.402.732.849.120;0.0489015132188797
52908.42;1.997.468.376.159.660;0.047411423176527
52910.42;20.045.108.795.166.000;0.0589782148599624
52912.39;20.002.626.419.067.300;0.0487381964921951
52934.35;19.912.702.560.424.800;0.0481193624436855
52935.35;19.997.652.053.833.000;0.0446155481040477
52936.34;19.919.633.865.356.400;0.0461224541068077
52963.27;1.995.914.077.758.780;0.037112683057785
53270.41;19.930.152.893.066.400;0.0413402691483497
53272.46;1.993.198.776.245.110;0.0555741004645824
53286.43;1.976.276.016.235.350;0.0501990616321563
53288.38;1.997.496.223.449.700;0.0477090701460838
53294.43;19.929.561.614.990.200;0.0501316972076892
53296.38;19.957.067.489.624.000;0.0532654300332069
53298.43;1.987.358.856.201.170;0.0472148396074771
53302.38;19.930.891.036.987.300;0.0648567825555801
53312.34;1.997.174.644.470.210;0.0809335559606552
53314.34;1.981.857.109.069.820;0.0514979697763919
53319.32;19.903.884.887.695.300;0.0597267188131809
53616.44;20.158.472.061.157.200;0.061848234385252
53622.45;20.310.922.622.680.600;0.042808786034584
53627.41;2.027.782.249.450.680;0.0515390262007713
53628.4;20.149.337.768.554.600;0.0666155368089675
53634.4;202.335.205.078.125;0.1212272271513938
53635.41;2.029.557.609.558.100;0.1061594635248184
53638.44;2.019.974.708.557.120;0.0644880011677742
53639.45;2.016.171.646.118.160;0.0667940080165863
53640.41;20.392.683.029.174.800;0.0683116167783737
53646.47;20.355.329.513.549.800;0.0626204907894134
53657.45;2.056.106.376.647.940;0.0851073116064071
53663.39;1.990.932.846.069.330;0.1190062388777732
53663.47;20.172.746.658.325.100;0.1687933653593063
53664.41;2.077.201.271.057.120;0.1889788508415222
53665.37;2.033.362.579.345.700;0.104154996573925
53665.47;2.059.165.382.385.250;0.1658168137073516
53668.38;2.006.121.635.437.010;0.0890182331204414
53668.46;20.349.105.834.960.900;0.1190185695886612
53669.37;2.038.874.244.689.940;0.0853057727217674
53669.47;20.327.098.846.435.500;0.1261969208717346
53671.45;2.028.883.552.551.260;0.0800926014780998
53673.35;20.300.256.729.125.900;0.0583595186471939
53674.35;2.051.344.108.581.540;0.0709052979946136
53675.35;20.247.169.494.628.900;0.0625803023576736
53676.44;2.038.413.429.260.250;0.0765274837613105
53680.36;2.023.567.771.911.620;0.0609226711094379
53681.4;20.499.128.341.674.800;0.0710882470011711
53683.42;21.327.890.396.118.100;0.1460209190845489
53686.36;2.030.656.242.370.600;0.1288332045078277
53696.37;20.433.324.813.842.700;0.0867375060915947
53697.36;2.019.851.493.835.440;0.0693791359663009
53699.38;20.214.738.845.825.100;0.0735743418335914
53975.43;2.028.525.733.947.750;0.079220063984394
