mjd,mag,magerr
51818.37,21.20268821716309,0.0976371094584465
51875.2,21.32968521118164,0.0982783436775207
52170.43,21.38533592224121,0.1290056556463241
52171.36,21.41230773925781,0.1369318515062332
52173.34,21.223257064819336,0.1282320022583007
52224.32,21.64051818847656,0.1483388841152191
52225.28,21.08403968811035,0.0858144313097
52234.28,21.38303565979004,0.1401674300432205
52261.24,21.32198143005371,0.1131416633725166
52287.12,21.45489501953125,0.1229973435401916
52288.12,21.530838012695312,0.1193283274769783
52522.42,21.26785469055176,0.1038028672337532
52551.39,21.33400154113769,0.1027157381176948
52557.41,21.472517013549805,0.1436944156885147
52558.43,21.493602752685547,0.1020679995417594
52578.3,21.384904861450195,0.1059343367815017
52908.39,21.41045188903809,0.1345560550689697
52912.37,21.335325241088867,0.1257727742195129
52934.32,21.276752471923828,0.1287751048803329
52935.32,21.432594299316406,0.1397219002246856
52963.25,21.35758209228516,0.082777515053749
53270.38,20.944759368896484,0.0909996852278709
53272.43,20.927906036376957,0.1016161367297172
53286.4,20.976348876953125,0.112273097038269
53294.4,21.31673622131348,0.1323547810316085
53296.35,21.09712600708008,0.1226584985852241
53298.4,21.566675186157227,0.1393430680036544
53302.35,21.245067596435547,0.1792547553777694
53312.31,21.14779090881348,0.1904082745313644
53314.31,21.215866088867188,0.1557142883539199
53351.17,21.32996368408203,0.107395626604557
53628.37,21.33063125610352,0.2429786324501037
53634.38,21.529504776000977,0.4031890034675598
53638.42,21.432016372680664,0.1358977854251861
53640.38,21.51349449157715,0.1288020759820938
53641.42,21.343652725219727,0.1434751003980636
53646.44,22.382888793945312,0.2901864349842071
53655.35,21.33722877502441,0.1094747632741928
53663.36,21.56831932067871,0.3577510118484497
53663.44,21.249717712402344,0.3566646873950958
53665.34,22.67462158203125,0.8579443693161011
53665.44,21.850500106811523,0.3998568654060364
53666.43,21.557601928710938,0.4530970454216003
53668.35,21.333301544189453,0.2120398730039596
53668.43,21.09364128112793,0.2211498916149139
53669.34,21.364524841308597,0.2050874978303909
53669.44,21.284727096557617,0.2990189790725708
53673.33,21.532581329345703,0.1408621072769165
53674.32,21.4838981628418,0.1856851875782013
53675.32,21.30094718933105,0.141425147652626
53676.41,21.25152587890625,0.1589138507843017
53677.34,21.374059677124023,0.125176340341568
53679.38,21.542739868164062,0.1717013120651245
53680.33,21.368688583374023,0.1392222195863723
53681.37,21.70367813110352,0.1611141860485077
53683.39,22.05656242370605,0.2773904502391815
53697.33,21.30389404296875,0.1459215134382248
53699.35,21.622472763061523,0.2074868530035019
53700.33,21.15174865722656,0.1211626604199409
53704.32,21.203554153442383,0.1421190500259399
53705.32,21.38261032104492,0.1485161036252975
53975.4,21.366575241088867,0.1279110461473465
53989.41,21.132368087768555,0.2279011905193328
53995.45,20.59988784790039,0.1053287833929061
53996.41,20.561908721923828,0.1070943921804428
54000.39,21.284351348876957,0.1420146375894546
54007.44,21.139137268066406,0.1216370835900306
54009.36,21.169065475463867,0.1040251404047012
54010.36,21.426963806152344,0.0851809978485107
54011.43,21.314697265625,0.1033201590180397
54012.36,21.01108169555664,0.1476459503173828
54012.44,21.2491397857666,0.1406386494636535
54020.36,20.904102325439453,0.1565007418394088
54024.44,21.07581901550293,0.1239364072680473
54025.43,20.864952087402344,0.1770342886447906
54029.44,21.093656539916992,0.1372020542621612
54030.39,21.290563583374023,0.0975062772631645
54031.34,21.127986907958984,0.1096839904785156
54035.43,21.44359588623047,0.1800335347652435
54036.35,21.127967834472656,0.1465795934200287
54037.34,21.309438705444336,0.0920314118266105
54039.35,20.972620010375977,0.1182387918233871
54040.35,21.21696281433105,0.1311370432376861
54041.32,21.076669692993164,0.21155446767807
54048.34,21.04048538208008,0.1805443167686462
54049.38,20.980249404907227,0.239922285079956
54052.34,21.211620330810547,0.2874140739440918
54053.36,21.072895050048828,0.1336555629968643
54055.36,21.146469116210938,0.1784143298864364
54056.34,21.32107353210449,0.1345370262861251
54058.34,21.33289337158203,0.2110067307949066
54059.34,21.257936477661133,0.1696601212024688
54060.36,21.67891311645508,0.3515738248825073
54061.35,21.25580596923828,0.2228563576936721
54062.34,21.252277374267575,0.1229993775486946
54068.32,21.12862968444824,0.1896874755620956
54346.42,20.95231437683105,0.2042449116706848
54348.42,21.037492752075195,0.1601452231407165
54355.43,21.48513412475586,0.1457879692316055
54357.38,21.47328186035156,0.114242747426033
54365.41,21.34859275817871,0.1193986311554908
54376.43,21.13840675354004,0.1311488896608352
54381.43,21.179039001464844,0.1099674925208091
54382.41,21.393085479736328,0.1298889964818954
54384.44,21.181541442871094,0.1365644484758377
54385.43,21.44488525390625,0.1168884187936782
54386.42,21.56095314025879,0.2022252082824707
54387.43,21.470991134643555,0.2131348252296447
54391.43,21.11875915527344,0.2265932857990265
54392.43,21.310691833496094,0.176031544804573
54393.43,21.34248733520508,0.2336461693048477
54394.41,21.326663970947266,0.2082010060548782
54396.43,21.115373611450195,0.2171650230884552
54406.34,21.46735191345215,0.1504821628332138
54411.3,21.29972267150879,0.1059906035661697
54416.33,21.45232582092285,0.1458290666341781
54421.34,21.156213760375977,0.1743765473365783
54423.32,21.13522720336914,0.1590142250061035
54424.28,21.06398200988769,0.1773023009300232
54433.34,21.93659782409668,0.8919008374214172
